Papel,Cotacao,ReceitaLiquida
ABCB3,"0,00",
ABCB3,"0,00",
ABCB4,"20,75",
ABEV3,"18,93",11.957.700.000
ABYA3,"4,91",67.990.000
ABYA3,"4,91",67.990.000
ACES3,"95,27",949.114.000
ACES4,"94,73",949.114.000
ADHM3,"2,35",33.000
AEDU11,"37,35",506.551.000
AEDU3,"18,35",506.551.000
AELP3,"1,93",0
AESL3,"10.081,90",1.974.900.000
AESL4,"10.081,90",1.974.900.000
AFLT3,"11,22",10.602.000
AFLU3,"5,15",7.595.000
AFLU5,"5,03",7.595.000
AGEI3,"7,80",508.533.000
AGEN33,"0,16",-10.805.000
AGIN3,"5,29",205.042.000
AGRO3,"19,45",219.451.000
AHEB3,"34,88",44.920.000
AHEB5,"33,00",44.920.000
AHEB6,"80,00",44.920.000
ALBA3,"2,15",117.774.000
ALLL11,"16,50",2.059.860.000
ALLL3,"3,97",2.059.860.000
ALLL4,"3,32",2.059.860.000
ALPA3,"27,19",1.036.860.000
ALPA4,"32,58",1.036.860.000
ALSC3,"27,75",133.372.000
ALSO3,"51,42",200.479.000
ALUP11,"28,45",1.259.030.000
ALUP3,"11,40",1.259.030.000
ALUP4,"8,45",1.259.030.000
AMAR3,"13,95",697.480.000
AMBV3,"87,00",8.462.600.000
AMBV4,"86,80",8.462.600.000
AMIL3,"32,20",-3.575.400.000
AMPI3,"55,00",683.601.000
ANIM3,"29,95",293.650.000
APER3,"30,99",21.375.000
APER3,"30,99",21.375.000
APTI4,"3.500,00",11.080.000
ARCE3,"54,00",3.510.800.000
ARCZ3,"3,66",690.278.000
ARCZ6,"3,63",690.278.000
ARLA3,"2,47",257.000
ARLA4,"3,38",257.000
ARPS3,"0,30",5.195.000
ARPS4,"0,00",5.195.000
ARTE3,"7,70",0
ARTE4,"6,81",0
ARTR3,"10,01",969.293.000
ARZZ3,"63,00",440.874.000
ASSM3,"7,12",1.841.000
ASSM4,"6,10",1.841.000
ASTA4,"25,83",212.565.000
ATOM3,"1,70",1.672.000
AUTM3,"19,70",938.954.000
AVIL3,"0,93",560.666.000
AZEV3,"7,00",1.215.000
AZEV4,"4,29",1.215.000
AZUL4,"56,76",3.030.730.000
B3SA3,"43,81",1.706.590.000
BAHI11,"43,70",14.339.000
BAHI3,"101,99",14.339.000
BAHI4,"86,00",14.339.000
BAHI5,"65,00",14.339.000
BALM3,"11,50",39.496.000
BALM4,"9,79",39.496.000
BAUH4,"77,18",41.626.000
BAZA3,"39,96",
BBAS3,"53,71",
BBDC3,"34,87",
BBDC4,"37,51",
BBRK3,"5,51",32.989.000
BBSE3,"37,68",0
BBTG11,"15,01",
BBTG12,"3,15",
BBTG13,"0,00",
BCAL6,"0,28",7.699.000
BDLL3,"24,01",14.069.000
BDLL4,"7,94",14.069.000
BECE3,"9,10",
BECE4,"8,75",
BEEF3,"12,90",4.511.180.000
BEES3,"6,52",
BEES4,"6,75",
BELG3,"1.375,50",3.510.800.000
BELG4,"1.370,00",3.510.800.000
BEMA3,"10,80",112.562.000
BERG3,"33,00",4.076.000
BESP3,"330,00",
BESP4,"344,00",
BFIT3,"0,98",
BFIT4,"0,93",
BGIP3,"55,00",
BGIP4,"38,00",
BHGR3,"19,10",68.479.000
BICB3,"8,00",
BICB4,"8,25",
BIDI11,"48,45",
BIDI3,"15,45",
BIDI4,"15,98",
BIOM3,"13,29",615.000
BIOM4,"8,68",615.000
BISA3,"1,58",480.963.000
BKBR3,"17,05",723.317.000
BMEB3,"13,19",
BMEB4,"13,55",
BMEF3,"11,00",143.294.000
BMGB11,"33,60",
BMGB4,"9,51",
BMIN3,"16,60",
BMIN4,"19,89",
BMKS3,"283,99",5.674.000
BMTO3,"7,82",0
BMTO4,"7,57",0
BNBR3,"95,99",
BNBR4,"27,01",
BNCA3,"70,30",
BOBR3,"0,00",291.537.000
BOBR4,"2,30",291.537.000
BOVH3,"15,71",283.118.000
BPAC11,"76,35",
BPAC3,"39,17",
BPAC5,"21,66",
BPAN4,"11,35",
BPAR3,"182,07",
BPAT33,"20,00",
BPHA3,"0,62",1.644.000
BPIA3,"6,10",
BPNM3,"0,00",
BRAP3,"35,75",0
BRAP3,"35,75",0
BRAP4,"38,57",0
BRDT3,"30,56",24.360.000.000
BRFS3,"35,94",8.459.490.000
BRGE11,"15,98",7.145.000
BRGE12,"6,80",7.145.000
BRGE3,"10,51",7.145.000
BRGE5,"21,70",7.145.000
BRGE6,"11,23",7.145.000
BRGE7,"5,40",7.145.000
BRGE8,"10,00",7.145.000
BRIV3,"9,27",
BRIV3,"9,27",
BRIV4,"9,65",
BRKM3,"33,46",13.368.200.000
BRKM5,"31,75",13.368.200.000
BRKM6,"25,00",13.368.200.000
BRML3,"18,63",314.550.000
BRPR3,"15,60",95.304.000
BRSR3,"22,91",
BRSR4,"181,10",
BRSR5,"24,90",
BRSR6,"22,09",
BRTP3,"35,71",2.647.670.000
BRTP4,"20,81",2.647.670.000
BSCT3,"4,05",
BSCT5,"3,50",
BSCT6,"2,58",
BSEV3,"2,89",1.552.460.000
BSGR3,"1.091,28",0
BSLI3,"52,00",
BSLI4,"46,01",
BTOW3,"64,30",1.681.170.000
BTTL3,"6,01",125.166.000
BTTL4,"3,30",125.166.000
BUET3,"24,99",14.863.000
BUET4,"18,49",14.863.000
CAFE3,"2,00",2.766.000
CAFE3,"2,00",2.766.000
CAFE4,"0,50",2.766.000
CALI3,"98,18",756.000
CALI4,"50,08",756.000
CAMB3,"7,00",59.725.000
CAMB4,"6,25",59.725.000
CAML3,"9,25",1.223.550.000
CARD3,"14,01",108.922.000
CASN3,"18,00",266.399.000
CBEE3,"19,89",1.393.690.000
CBMA3,"0,01",0
CBMA4,"0,01",0
CCHI3,"0,02",0
CCHI4,"0,02",0
CCIM3,"5,52",473.326.000
CCPR3,"25,70",115.683.000
CCRO3,"18,79",2.698.760.000
CCTU4,"37,28",64.307.000
CCXC3,"1,91",0
CEAB3,"0,00",0
CEBR3,"55,70",663.868.000
CEBR5,"58,50",663.868.000
CEBR6,"53,80",663.868.000
CEDO3,"8,52",185.715.000
CEDO4,"8,70",185.715.000
CEEB3,"40,50",0
CEEB5,"38,91",0
CEED3,"100,00",687.149.000
CEED4,"100,00",687.149.000
CEGR3,"48,00",1.210.640.000
CELM3,"15,00",1.727.000
CELP5,"6,06",1.460.230.000
CELP7,"6,05",1.460.230.000
CEPE3,"24,53",0
CEPE5,"26,00",0
CEPE6,"17,46",0
CESP3,"32,40",414.466.000
CESP4,"16,29",414.466.000
CESP5,"32,00",414.466.000
CESP6,"32,80",414.466.000
CFLU4,"1.000,00",44.806.000
CGAS3,"142,87",2.585.530.000
CGAS5,"144,44",2.585.530.000
